Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Action, Adventure",en,1978-12-13,7.1,plan;Lex;Clark;summon,Superman
"Adventure, Action, Science Fiction",en,2002-05-15,6.5,"Kenobi;could;Skywalker;Amidala,",Star Wars: Episode II - Attack of the Clones
"Comedy, Family",en,1997-12-12,5.3,due;try;Now;fend,Home Alone 3
"Crime, Thriller",en,2014-09-10,6.0,invades;Terri;Terri;deed,No Good Deed
Comedy,en,2021-04-23,6.1,Lori's;fun.;decide;sister's,We Broke Up
"Animation, Family, Fantasy",en,2010-01-25,7.2,"mother,;friend;undersea;Merliah,",Barbie in A Mermaid Tale
"Action, Drama, Horror, Science Fiction",en,2011-09-15,5.1,bullets;–;five;run,The Day
"Science Fiction, Action, Thriller",en,1990-11-20,6.2,chief;extraterrestrial;Angeles;Los,Predator 2
"Adventure, Family, Mystery, Science Fiction",en,2015-05-19,6.2,boy-genius;space;optimistic;bursting,Tomorrowland
"Comedy, Family, Fantasy",en,1993-11-19,6.9,"go;Pubert,;nanny,;Siblings",Addams Family Values
"Comedy, Romance",es,2016-05-13,7.7,"partners;father-to-be.;immature;pregnancy,",Don't Blame the Kid
"Animation, Mystery, Horror, Science Fiction",ja,2015-10-02,6.1,Watson;corpses;government;agent-,The Empire of Corpses
"Action, Adventure, Science Fiction",en,2013-05-05,7.3,"chess;stands;called;for,",Star Trek Into Darkness
Documentary,en,2016-10-16,7.1,tell;entire;Dead;8.,The Walking Dead: The Journey So Far
"Action, Science Fiction, Horror",en,2016-02-26,5.0,"keeping;survivors,;doctor,;survival",Pandemic
"Horror, Thriller",en,2006-03-10,6.4,atomic;zone.;family...and;mutant,The Hills Have Eyes
"Comedy, Crime",es,2021-12-11,7.0,city;heist;shopping;Christmas,Operation Merry Christmas: The Elf Con
"Fantasy, Drama, Romance",en,1990-12-05,7.7,science;receives;visit;town,Edward Scissorhands
