Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Comedy, Drama, Romance",en,2008-09-09,6.6,swindling;around;heiress;job,The Brothers Bloom
"Romance, History, Comedy",en,1998-01-29,6.9,"it's;even;Shakespeare's;role,",Shakespeare in Love
"Comedy, Family",en,2006-11-22,5.5,lights;Determined;many;men,Deck the Halls
"Comedy, Crime, Drama, Mystery",en,1961-09-26,7.3,decides;Marple;yet;no,Murder She Said
"Comedy, Mystery, Horror",en,2020-10-07,6.0,"Halloween;it’s;devotion;night,",Hubie Halloween
"Comedy, Music",en,1992-02-14,6.7,"friends,;metal-head;network;""Wayne's",Wayne's World
"Comedy, Horror",en,1967-02-01,7.1,professor;ominous;distress.;inquiring,The Fearless Vampire Killers
"Drama, Romance",es,2016-05-19,6.3,"married,;meet;infatuated;fact",The Red Thread
Drama,en,2005-05-06,7.2,"carjackers;Persian;Los;shopkeeper,",Crash
"Horror, Mystery, Thriller",en,1983-06-03,6.4,mental;finally;Bates;old,Psycho II
"Action, Drama, Fantasy, History, Adventure",ru,2018-01-18,6.1,"assassins.;few;Lutobor,;sets",The Last Warrior
"Crime, Drama, Thriller",en,1975-08-01,7.8,bank;slowly;turns;Brooklyn,Dog Day Afternoon
Drama,es,2019-10-21,7.8,"Mexico,;days;cumbia;forced",I'm No Longer Here
"Adventure, Science Fiction, Comedy",en,2023-07-26,0.0,film;Ant-Man;third;Marvel,Ant-Man and the Wasp: Quantumania
"Adventure, Comedy, Family, Science Fiction, Action",en,1997-03-18,5.5,invention;watching;move.;every,"Honey, We Shrunk Ourselves"
Documentary,en,2022-03-11,0.0,higher;strict;Japan;sundae.,Crows Are White
"Comedy, Romance",en,1995-05-05,6.4,"France,;trip;charming;despite",French Kiss
"Action, Crime",en,2012-03-29,4.9,plan.;criminal;vengeful;FBI,The Courier
"Drama, Romance",en,1968-04-02,7.4,defy;Romeo;Driven;Juliet,Romeo and Juliet
"Comedy, Family",en,2006-12-08,6.0,families;disgruntled;snowed;disparate,Unaccompanied Minors
"Comedy, Crime",en,2002-12-06,5.8,some;stock;some;Paul,Analyze That
Action,en,1984-06-01,6.8,singer;her.;Shaddock;Along,Streets of Fire
"Drama, Music",en,2013-10-13,7.2,volatile;early;singing;future,Inside Llewyn Davis
"Drama, Mystery, Thriller",en,2016-05-20,6.0,case;dig;unsolved;Manhattan,Manhattan Night
"Thriller, Drama",en,2017-06-30,5.7,grows;escape;befriends;another,Inconceivable
"Comedy, Drama, Romance",en,1994-07-29,6.5,Lang;True;prize;cop.,It Could Happen to You
"Drama, Comedy",en,2019-08-16,6.7,Bernadette;quest;Bee;Bernadette's,"Where'd You Go, Bernadette"
"Animation, Science Fiction, Music, Adventure",ja,2003-05-28,7.9,At;alien;record;pilot,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
"Comedy, Drama, Romance",en,1960-06-21,8.2,night;quick;solve.;corporate,The Apartment
"Drama, Family",en,2015-02-20,7.4,contenders.;track;championship;athletes,"McFarland, USA"
"Drama, Mystery, Crime",en,1957-12-17,8.2,"much;civil;supposed;him,",Witness for the Prosecution
Drama,ja,1953-11-03,8.3,"children;journey;wife,;younger",Tokyo Story
"War, Drama, Thriller, Action",ko,2000-09-09,7.9,2;North;actually;shooting,Joint Security Area
"Adventure, Horror",en,1996-10-11,6.7,Sir;discovers;crew;killed,The Ghost and the Darkness
"Drama, Romance",en,2001-02-16,6.8,causes;test;thing;living,Sweet November
"Animation, Drama, Mystery, History",en,2017-06-22,8.1,comes;final;van;deliver,Loving Vincent
"Comedy, Drama",en,2021-09-09,6.2,book;publisher.;retired;tour,Best Sellers
"Drama, Fantasy",en,1989-04-21,7.1,Kinsella;Ray;even;Iowa,Field of Dreams
Drama,it,1991-11-15,7.1,set;lottery;discovers;fails.,The Raffle
"Thriller, Mystery, Adventure",en,1975-09-24,7.3,those;CIA;trust.;responsible,Three Days of the Condor
"Thriller, Comedy, Action",ja,2015-05-11,6.7,"students,;ghosts;various;Female",Tag
"Horror, Thriller, Mystery",ja,2002-01-19,6.7,unpleasant;apartment;building;moves,Dark Water
"Adventure, History, War, Drama",nl,2018-06-28,6.4,"king,;army;Christianity.;born,",Redbad
"Science Fiction, Drama, Fantasy, Thriller",en,2020-08-13,6.2,working;costs—being;latest;goal,Archive
Horror,en,2014-01-06,8.7,Umbrella;leaves;disturbing;behind,Resident Evil: Keeper's Diary
"Drama, History",en,1983-10-20,7.4,'boy;scout';original;formation,The Right Stuff
"Drama, Action, History",en,1958-07-03,7.5,"follows.;discover;officer,;liner's",A Night to Remember
"Crime, Drama, Thriller",en,2008-11-13,5.7,Federal;Thinking;psychopathic;Beautiful,Killshot
"Horror, Science Fiction",en,2007-04-28,5.1,"female;nest,;Man-eating;crocodile,",Lake Placid 2
"Comedy, Drama",en,2021-04-02,7.2,runs;shiva;student;unexpectedly,Shiva Baby
"Horror, Thriller",en,1987-02-27,6.6,since;Freddy;dreams.;up;,A Nightmare on Elm Street 3: Dream Warriors
"Comedy, Animation, Action",tr,2016-02-05,6.7,cat;its;paths;cross,Bad Cat
"Horror, Mystery, Thriller",no,2006-10-13,6.2,breaks;psychopathic;along;know,Cold Prey
Drama,es,2017-04-06,7.1,turmoil;privacy.;intense;Mourning,A Fantastic Woman
"Action, Crime, Romance",cn,1992-12-03,5.4,arts;trained;professional;martial,Naked Killer
"Animation, Family",en,2006-07-07,5.1,"Pi,;goes;good.;meets",Shark Bait
Comedy,en,1979-06-28,5.8,"themselves.;rival;defeat;competition,",Meatballs
"Drama, History, Romance, Thriller, Adventure, War",en,1943-07-12,6.7,order;mountains.;bridge;Robert,For Whom the Bell Tolls
"Comedy, Romance, Fantasy",en,2018-02-09,6.6,chance;dreams;Noah;again.,When We First Met
Drama,id,2020-11-26,0.0,About;Dom;DOM;acting,"Jakarta, City of Dreamers"
"Family, Adventure",en,2009-10-22,5.9,"gets;pup.;Icicle;bored,",Santa Buddies
"Action, Drama, War",en,2006-12-19,7.5,"during;Iwo;told;II,",Letters from Iwo Jima
Thriller,en,2018-10-13,7.0,legendary;starts;rebellious;start,Cucuy: The Boogeyman
Comedy,en,2009-08-18,4.3,aphrodisiacal;array;weed;marijuana,Sex Pot
Drama,en,2010-08-20,7.4,Against;Penny;lack;horse-racing,Secretariat
"Adventure, Action, Thriller",zh,2015-09-30,5.7,deep;forever.;China's;caverns.,Chronicles of the Ghostly Tribe
"Comedy, Family, Fantasy",en,2006-04-25,5.2,Ranch.;daughter;sends;herself.,Dr. Dolittle 3
"Action, Animation, Fantasy, Science Fiction",en,2009-01-27,6.8,makes;spell;Hulk;(including,Hulk vs. Thor
"Comedy, Music, Drama",en,2006-03-17,6.9,"tastes,;create;dance;clashes",Take the Lead
"Adventure, Drama, Action, History",en,1976-03-09,7.3,birth;historical;Handsomely-mounted;concerns,The Message
Horror,en,2009-08-11,4.4,faces;popular;deadly;spreads,Cabin Fever 2: Spring Fever
"Comedy, Thriller, Mystery",en,2015-04-10,5.6,"routine;jaded;job,;crosshairs.",Kill Me Three Times
Thriller,cn,1999-01-17,5.8,"Sheung-wai;Killer"";Leung);Kok-Wan",Raped by an Angel 4: The Rapist's Union
"Horror, Comedy",en,2011-08-18,6.2,self-proclaimed;vampire.;magician;classic.,Fright Night
"Romance, Drama",en,1993-07-23,6.8,see;invites;character;poet.,Poetic Justice
"Thriller, Drama, History",en,2018-01-18,6.3,–;idealistic;may;involve,Backstabbing for Beginners
"Fantasy, Horror",en,2006-09-08,5.5,legacy;force;tear;Another,The Covenant
Comedy,en,2014-12-12,5.9,"legendary;and,;Felix;stops",Expelled
"Drama, Crime, Thriller",en,2017-11-17,6.3,suddenly;others;truths;truths,"Roman J. Israel, Esq."
"Romance, Comedy",en,2019-08-29,6.6,New;Francisco;rustic;San,Falling Inn Love
Documentary,en,2018-04-30,6.3,Meet;belief;worldwide;defend,Behind the Curve
"Drama, Romance",en,1997-04-04,6.4,"women.;sisters.;both;wealthy,",Inventing the Abbotts
Drama,pt,2011-02-25,6.3,"traditional;call;girl,;looked",Confessions of a Brazilian Call Girl
Drama,en,1992-12-17,7.5,"success;editor,;Chaplin;journey",Chaplin
"Horror, Thriller",en,2005-07-19,5.0,"incantation,;deadly;trio;unleashing",Urban Legends: Bloody Mary
"Drama, Fantasy",en,2000-11-02,6.5,"long-ago;swing;course;however,",The Legend of Bagger Vance
"Crime, Thriller, TV Movie",en,2015-03-21,5.7,"mother;safety;city,;invasion",Stalked by My Neighbor
"Comedy, Drama, Family, TV Movie",en,2011-11-11,6.6,"planned,;perfect;hard-hitting;show",Geek Charming
Animation,ja,1988-06-01,6.7,characters;service;fire;Scratch.,Dragon Ball: Goku's Fire Brigade
"Comedy, Family, Science Fiction",en,1997-11-26,5.6,Phillip;Professor;Brainard;third,Flubber
"TV Movie, Family, Comedy, Adventure, Crime, Drama, Music",en,2006-01-01,7.2,send;dangerous;Drake;Megan,Drake & Josh Go Hollywood
"Thriller, Mystery, Crime",en,2018-09-22,5.3,mystery.;naturalist;chilling;Alaskan,Hold the Dark
"Drama, Crime",it,2008-01-01,6.9,"families,;They;crime;even",Gomorrah
"Action, Horror, Thriller",en,2007-11-08,6.5,creature;stumble;terrifying;fight,Rogue
Thriller,en,1996-04-12,6.3,boyfriend;dream;Walker;always,Fear
"Comedy, Drama, Romance",en,1931-02-01,8.4,"seller.;sound-era;film,;flower",City Lights
"Horror, TV Movie, Comedy, Music, Thriller, Science Fiction",en,2016-10-20,5.3,"transsexual;couple,;storm,;scientist",The Rocky Horror Picture Show: Let's Do the Time Warp Again
"Drama, Romance",en,1999-12-22,6.2,trial.;—;factor;So,Snow Falling on Cedars
"Romance, Thriller, Drama",en,1994-08-19,5.7,visits;thick;psychiatrist;Bill,Color of Night
Drama,en,2013-04-05,8.3,sale.;recent;dead;seaside,Stranger Things
"Drama, Romance",en,2012-05-25,7.4,desire;like;dying;lose,Now Is Good
"Drama, Action, Thriller, History",zh,2010-09-01,6.8,danger;remains.;holds;ancient,Reign of Assassins
"Animation, Family",en,2005-02-02,5.4,evil;journey;evil;danger,The Magic Roundabout
"Drama, Romance",en,2005-11-17,6.8,"experiences,;While;New;loss,",Rent
"Drama, Romance",en,2021-09-23,4.9,bet;captain;sea;walks,The Story of My Wife
"Romance, Action, Drama, History",zh,2017-08-11,6.5,An;Bei;sword.;wanted,Brotherhood of Blades II: The Infernal Battlefield
Comedy,ja,2004-05-29,7.0,"ordinary;Momoko;Century;girl,",Kamikaze Girls
Comedy,en,2016-04-07,5.9,"sweetheart,;quick;so;rebrand",The Boss
"Comedy, Crime, Drama, Romance",es,1990-01-22,6.9,"mental;once;Marina,;ties",Tie Me Up! Tie Me Down!
"Drama, Comedy",en,2017-03-16,6.5,"Erica;L.A.'s;dark;Bob,",Flower
"Animation, Drama, Family",ja,2010-08-21,7.3,Watched;second;chance;sin,Colorful
"Animation, Family",en,2018-04-12,6.2,vicious;fall.;beloved;order,Ploey: You Never Fly Alone
"Drama, Action, Crime",ru,1999-04-19,7.2,circumlocution;her.;actions;incapable,The Rifleman of the Voroshilov Regiment
"Adventure, Action",en,2008-08-15,7.6,aboard;boys;airplane;away,The Flyboys
"Horror, Thriller, Mystery",en,1981-02-11,6.5,crew;killed;mining;bloody,My Bloody Valentine
"Thriller, Drama",es,2015-09-21,6.8,phone;car;up.;call,Retribution
"Animation, Family, Comedy",en,2010-12-13,7.1,delicious;banana...;want?!;fight,Banana
"Horror, Thriller",en,1968-10-04,7.7,trapped;rural;Pennsylvania;farmhouse.,Night of the Living Dead
"Music, Drama",en,2019-04-12,6.2,teenager;enters;Wight;test,Teen Spirit
"Drama, Mystery, Thriller, Crime",en,1997-09-29,6.5,trail;serial;abducts;Los,Kiss the Girls
Comedy,es,2012-02-03,6.5,ghosts;abilities;teacher;graduate,Ghost Graduation
"Action, Drama",en,2003-04-04,6.1,done;focus;botched;organized,A Man Apart
"Action, Horror, Thriller",en,2017-08-04,5.3,operatives;trapped;follows;inside,Armed Response
"Drama, Crime, Thriller",en,1997-11-18,7.0,"paralegal;law;clients,;goes",The Rainmaker
"Comedy, Science Fiction",en,1988-12-09,5.7,woos;scientist;Steve;true,My Stepmother Is an Alien
"Comedy, Family",en,2011-09-20,6.2,movie;town;Disney's;something,Spooky Buddies
"Horror, Science Fiction",en,2004-01-01,5.0,overly;snake;boa;agent,Boa vs. Python
"Comedy, Drama, Romance",en,1977-04-19,7.8,comedian;York;ditsy;New,Annie Hall
"Comedy, Romance",en,1967-05-25,7.1,divorce.;Soon;Simon;neighbor,Barefoot in the Park
Comedy,en,2006-08-18,6.4,"higher;school;learning,;piece",Accepted
"Thriller, Drama, Crime",en,2000-03-23,7.1,league;luxurious;endangering;An,Traffic
Science Fiction,en,1956-03-23,7.3,search;20;destruction;scientific,Forbidden Planet
Comedy,en,2018-04-27,6.3,debate;champs;forge;ambitious,Candy Jar
"Horror, Thriller",en,2005-08-19,6.3,routine;stranger;potential;murder,Red Eye
"Action, Adventure, Family, Fantasy",en,1958-12-05,6.9,evil;island;princess;prevent,The 7th Voyage of Sinbad
"Animation, Action, Fantasy",ja,1997-12-20,6.6,Shigure;ago.;watched;slashed,Rurouni Kenshin: Requiem for the Ishin Patriots
"Animation, Comedy, Science Fiction, TV Movie",en,2008-11-03,6.9,he's;sees;Mom's;damaged,Futurama: Bender's Game
"Adventure, Action, Comedy",en,2004-01-14,6.7,Will;world.;Johnston;With,Team America: World Police
"Comedy, Drama",sv,2015-12-25,7.6,"changes;continues;mailbox,;terraced",A Man Called Ove
Drama,en,1950-08-10,8.4,screenwriter;film;faded;star,Sunset Boulevard
"Western, Drama, Adventure",en,2018-09-19,6.8,capture;profitable;so;wants,The Sisters Brothers
"Drama, Romance, Comedy",en,1998-01-20,7.1,"moment,;student;girlfriend;teenage",Buffalo '66
"Adventure, Action",en,2007-01-11,5.7,Viking;American;Native;left,Pathfinder
"Drama, Horror, Science Fiction",en,2016-02-18,5.6,documents;quarantine;majority;Following,Viral
"Thriller, Horror, Drama",en,2017-05-04,5.1,imprisoned;compelled;game;KEEP,Keep Watching
"Drama, Fantasy, Science Fiction, Thriller",en,2013-07-06,6.1,human;nuclear;international;race,After the Dark
Drama,en,2020-11-27,8.3,challenges;Born;horse;Jo,Black Beauty
Documentary,en,2020-09-28,8.5,generations.;our;other.;our,David Attenborough: A Life on Our Planet
Drama,fi,2021-10-29,7.3,Compartment;than;major;Russian,Compartment No. 6
"Thriller, Drama",ja,1986-12-06,4.5,"female;mood;assistant);patients,",Flower and Snake 4: White Uniform Rope Slave
Drama,en,1984-05-11,6.9,league.;1930s;past;middle-aged,The Natural
"Romance, Comedy",en,2014-09-26,6.4,snowed;stand;They're;than,Two Night Stand
"Horror, Mystery, Thriller",en,1974-10-11,7.0,"girls;sorority;break,;stranger.",Black Christmas
"Action, Comedy, Drama",en,2007-11-03,5.8,"whom;North;down,;Pole",Fred Claus
"Romance, Drama",en,2017-12-15,6.4,learns;inherit;visit;To,Christmas Inheritance
"Thriller, Romance, Drama",en,1997-10-20,4.8,family.;destroy;seductress;vows,Poison Ivy: The New Seduction
"Animation, Action, Horror, Fantasy",ja,1989-03-18,6.1,Legend;Jujinkai;(Overfiend);inside,Urotsukidōji: Legend of the Overfiend
"Drama, Adventure, Family",en,1995-06-02,7.1,wife;such;remembers;husband,Fluke
"Drama, Romance",en,1998-02-20,7.2,teaches;because;favored;questionable,Dangerous Beauty
"Comedy, Romance",en,1989-10-12,6.3,working;bring;even;going,Look Who's Talking
"Action, Thriller",en,2004-09-06,6.4,husband;next.;phone;child,Cellular
"Thriller, Mystery",en,1965-03-18,6.8,"double-dealing,;security,;investigating;agent",The Ipcress File
"Drama, Comedy",fr,2021-04-08,7.0,"winter;Suli,;embark;sobbing",Under the Stars of Paris
Comedy,en,1983-06-24,5.7,Miss;With;High;Bubba,Porky's II: The Next Day
Thriller,en,2015-07-17,6.9,This;famous;film;experiments,The Stanford Prison Experiment
"Drama, Romance",en,2016-02-04,7.2,neighbors;meet;town;small,The Choice
Drama,en,2015-10-01,7.1,connections;writer;grown;forge,Fathers and Daughters
Comedy,en,2021-07-13,0.0,film;Two;react;members,Deadpool and Korg React
"Action, Crime, Thriller, Drama",cn,2005-05-12,6.7,"Takumi;perfected;competition,;sport",Initial D
"Crime, Comedy, Music, Thriller",en,1960-08-10,6.5,Vegas;night.;Las;five,Ocean's Eleven
"Comedy, Family",en,2008-11-08,6.9,"piloted;odd;Carly,;Japan",iCarly: iGo to Japan
"Comedy, Romance, Drama",en,2008-11-26,5.8,"Now,;year;airport;avoiding",Four Christmases
"Drama, Action, Thriller",zh,2010-02-04,6.4,five;blade;reserved;license,14 Blades
Drama,en,2017-02-17,5.9,'in;than;apple;doomed,In Dubious Battle
"Action, Adventure, Comedy, Science Fiction",en,2015-08-14,6.6,dreams.;ruthless;battle;post-apocalyptic,Turbo Kid
"Horror, Action, Thriller",en,2009-05-01,5.9,itself;seven;assassins.;No,The Tournament
"Adventure, Comedy, Animation, TV Movie",en,2007-02-14,7.9,"Grim;Court;title;Irwin,",Billy & Mandy's Big Boogey Adventure
"Action, Adventure, Comedy",en,1991-05-23,5.7,Mayflower;planning;works;kill,Hudson Hawk
"Comedy, Family",en,2003-05-09,5.9,inspires;can't;laid;dads,Daddy Day Care
"Western, Drama",en,2016-06-24,5.4,series;Texas;Ranger;Helena.,The Duel
"Horror, Mystery",en,2022-03-11,0.0,"vandalized,;grave;desolate;arrives,",Offseason
"Animation, Action, Crime, Mystery",ja,2011-04-16,7.0,"line,;connected;Shinichi;Edogawa",Detective Conan: Quarter of Silence
Action,ja,2007-10-26,7.1,Suzuran;youth.;reminds;son,Crows Zero
Drama,en,2004-01-20,6.8,Melinda;Freeman.;Andy;manage,Speak
"Drama, Romance, Comedy",en,2004-10-15,6.3,beautiful;sight;lawyer;dancing,Shall We Dance?
"Comedy, Crime",en,2000-02-18,6.4,suburban;relocated;long;authorities,The Whole Nine Yards
"Drama, Romance",en,2004-12-03,6.8,so;sum;begs;prosperous,The Merchant of Venice
"Thriller, Crime",en,2018-03-09,5.3,conspiracy;government;agents;latest,Bent
"Comedy, Drama",en,2013-01-19,7.0,verge;escapes;three;build,The Kings of Summer
"Drama, Action, Thriller, Crime",en,1998-11-06,6.3,rogue;agent;Middle;enemy,The Siege
Horror,en,2018-10-14,5.9,proceed;cast;very;pet.,Antrum
"Drama, History",en,2015-10-09,6.8,epicenter.;behind;Steve;product,Steve Jobs
"Drama, Romance",zh,1997-05-30,7.6,instead;further;drifting;trip,Happy Together
"Drama, Romance",en,2012-06-01,6.3,perfect;results;yield;revelations,A Perfect Ending
"Drama, Music, Romance",it,1998-10-28,8.3,"liner.;fears;ship,;outside",The Legend of 1900
"Adventure, Science Fiction, Western",en,1973-08-15,6.7,life-like;periods;wild;wildest,Westworld
"Drama, Crime",en,2015-06-19,6.5,"detective;wife.;son.;be,",Mr. Holmes
"Drama, History",en,2009-06-25,5.9,Báthory;Kingdom;Erzsébet;17th,The Countess
Drama,en,1999-12-10,7.7,"Fernando;many;happiness,;forgiveness,",Magnolia
"Drama, History",ru,1966-12-16,8.2,monk;film;painter;troubled,Andrei Rublev
Horror,en,2019-04-19,5.3,stopping;like;diner;couple,The Farm
Horror,en,2019-06-28,4.4,"Casablanca,;YouTubers;hides;struggling",The 16th Episode
"Drama, Romance, Thriller",en,2013-09-19,7.1,generation:;Jack;poets;Burroughs.,Kill Your Darlings
Romance,ja,1985-07-20,4.0,"vying;married!;attention,;Secretly",Office Love: Behind Closed Doors
"Action, Crime, Science Fiction, Thriller",en,1995-08-04,5.4,Enforcement;SID;stop;serial,Virtuosity
Comedy,en,1996-09-20,6.7,"hurts;hubbies;exes;newer,",The First Wives Club
"Drama, Romance, Comedy",en,1980-12-01,5.9,complicated;Things;middle-aged;even,A Change of Seasons
"Comedy, Drama",en,1936-02-11,8.3,industrial;woman.;live;struggles,Modern Times
"Fantasy, Drama",it,1963-02-14,8.2,"Anselmi;dependency,;dreams;show.",8½
"Action, Animation, Science Fiction",en,2013-10-04,8.4,"Predaking;Predacons;form;Decepticons,",Transformers: Prime Beast Hunters: Predacons Rising
"Music, Documentary",en,2018-12-31,8.2,night;Dallas;celebrates;magic.,Taylor Swift: Reputation Stadium Tour
"Action, Drama, History",zh,2007-12-12,6.7,"tale;blood;midst;""The",The Warlords
"Horror, Drama",en,2021-02-05,5.4,inner;amidst;Great;ruthless,The Reckoning
"Drama, History",en,2020-11-13,6.8,screenplay;Herman;critic;Mankiewicz,Mank
"Drama, War, Mystery",fr,2010-09-04,8.1,core;twins;tangled;last,Incendies
"Romance, Comedy",en,2020-10-01,6.3,Spanish;brilliant;movies.;there.,Rifkin's Festival
"Comedy, Horror",en,2020-10-02,7.0,Dylan;may;last.;students,Spontaneous
"Action, Adventure, Family, Fantasy",en,1940-12-25,7.2,"Prince;cast;Jaffar,;Bagdad",The Thief of Bagdad
"Action, Thriller",en,2012-07-20,5.4,elite;past;returns;hitman,Interview with a Hitman
"Music, Documentary",en,2017-10-26,8.0,"DJ,;rise;decision;chronicling",Avicii: True Stories
"Drama, Horror, Thriller",de,1997-09-11,7.3,amusement.;vacation;another;psychotic,Funny Games
"Family, Comedy",en,2020-04-10,6.7,superstar;magical;powers;enters,The Main Event
"Action, Drama, Comedy",ko,2013-06-05,7.1,assumes;town.;ordinary;rock,"Secretly, Greatly"
"Science Fiction, Drama, Thriller, Horror",en,2020-10-23,6.3,Two;Orleans;linked;designer,Synchronic
"Crime, Thriller",en,2012-07-30,6.0,restore;Jackie;guys;economy,Killing Them Softly
"Mystery, Fantasy, Adventure, Action",zh,2018-07-27,6.2,"masks,;detective;strange;upon",Detective Dee: The Four Heavenly Kings
"Romance, Animation",ja,2016-02-20,8.6,"would;Until;helps;Sajo,",Dou kyu sei – Classmates
"Drama, Romance",en,2017-03-17,5.4,Faye;success;—;roll,Song to Song
"Thriller, Horror",en,2011-09-02,5.0,turns;shark;seven;vacationers,Shark Night 3D
"Mystery, Thriller",en,2018-04-06,5.5,"female;esteemed;professor;college,",Spinning Man
"Comedy, Drama",es,1993-10-29,6.7,make-up;might;however;traumatic,Kika
"Comedy, Drama",en,2015-06-12,7.6,bizarre;senior;both;interactions,Me and Earl and the Dying Girl
"Comedy, Romance",en,2014-02-14,6.0,romantic;contemporary;test;closely,About Last Night
"Drama, Romance, Comedy",en,2006-10-06,7.1,"disgraced;temptations.;offender,;vulnerabilities",Little Children
"Romance, Crime, Comedy, Drama",en,2003-08-01,4.0,boss;could;decidedly;gorgeous,Gigli
"Drama, Action, Thriller, Crime",de,1931-05-11,8.1,"preys;trail,;classic;attempt",M
Comedy,en,1995-05-13,4.4,features;other;pre-teened;trilogy,Problem Child 3: Junior in Love
"Drama, History, War",en,1964-03-24,6.5,events;Drawn;Barbarians.;same,The Fall of the Roman Empire
"Action, Crime, Drama, Thriller, Mystery",en,1996-09-20,6.3,allegiances;stay;stranger;bidder.,Last Man Standing
"Family, Drama",en,2021-05-28,7.2,"feminine;Rob’s;Rob,;suspicious",The Little Prince(ss)
Thriller,en,2013-03-17,6.6,9/11;collapsed;native;attacks.,The Reluctant Fundamentalist
"Thriller, Crime, Action",es,2016-10-28,6.7,that’s;15-M;1.5;arrival,May God Save Us
Comedy,en,2018-05-16,9.0,or;any;randy;tops,Sex School: Dorms of Desire
"Drama, Romance",en,2013-09-12,6.8,"Juliet,;masked;romance,;enemies.",Romeo & Juliet
"Drama, Romance",en,2015-04-23,7.0,"farmer,;prosperous;This;Thomas",Far from the Madding Crowd
"Action, Adventure, Drama",en,1997-09-06,6.8,Charles;having;Alaskan;Charles,The Edge
"Thriller, Crime, Drama, Mystery",en,2017-10-26,5.8,"blackmail,;1950s,;turns;worst",Suburbicon
"Action, Comedy, Science Fiction",en,1975-04-30,6.1,scored;race;mowing;male,Death Race 2000
Comedy,en,1972-08-06,6.6,mystery;queen;common;sexual,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask
"Thriller, Horror",en,2016-04-16,7.2,"safety;abyss,;surface;curved",Curve
"Animation, Comedy, Family",en,2002-06-28,6.5,neighborhood;Arnold;order;bulldozed.,Hey Arnold! The Movie
"Animation, Science Fiction",ja,2011-09-03,6.5,mercy;escapes;many;obsessed,Mardock Scramble: The Second Combustion
"Drama, Romance",en,1991-11-22,6.1,"proves;relationship;sexual;tension,",Close My Eyes
"Comedy, Romance",en,2020-05-01,7.2,same;sweet;student;hired,The Half of It
"Family, Animation, Fantasy, Adventure",en,1982-06-17,7.5,ground.;escaped;including;widowed,The Secret of NIMH
Drama,en,2009-05-22,5.0,live-in;companionship;thinks;With,The Girlfriend Experience
"Comedy, Romance",en,2004-03-28,6.2,undeniable;traditions;Danish;different,The Prince & Me
"Comedy, Adventure",en,2000-05-19,6.1,"frenzy,;cast;Anthony;Rapp,",Road Trip
"Fantasy, Comedy",fr,1993-01-27,7.1,times;rules;--;modern,The Visitors
"Drama, Crime, Action",en,2016-09-09,6.6,"hood,;fifteen-year;go;hard-earned",Kicks
"Horror, Crime, Thriller",en,2015-09-25,6.7,evidence;crime.;venue;trapped,Green Room
"Drama, Romance",en,1983-04-14,6.5,teen;successful;boss;encourages,Flashdance
"Romance, Comedy",ru,2011-01-12,6.0,"seaside;Slava;town;""Fingers""",Lucky Trouble
"Crime, Comedy, Romance",en,2003-09-02,6.0,intention;gold;divorce.;making,Intolerable Cruelty
Drama,de,2004-07-04,7.1,Academy;appointment;–;skills,Before the Fall
"Action, Drama, History, Thriller",en,2017-07-09,6.0,authorities;terrorists;decide;Embassy,6 Days
"Documentary, Music",es,2021-04-23,8.6,"Enrique;band;An;Silencio,",Heroes: Silence and Rock & Roll
"Music, Documentary",ko,2019-08-07,8.9,following;event;BTS;concert,Bring the Soul: The Movie
"Romance, Drama",en,2015-02-08,5.6,Hollywood;daily;screenwriter;world.,Knight of Cups
"Comedy, Romance",en,1998-02-20,6.1,enhanced;abuse;student;option.,Senseless
"Drama, Music",en,1983-07-11,5.7,biggest;Fever;strutting;later,Staying Alive
Drama,en,2016-10-21,7.8,"single;himself,;aged;similar","I, Daniel Blake"
"Drama, Mystery, Thriller",en,2019-05-17,5.3,"mansion;Charles;town,;along",We Have Always Lived in the Castle
"Horror, Thriller",en,2022-02-10,6.5,plot;children;single;ex,Shut In
"Adventure, Science Fiction, Action",en,2007-06-27,6.7,Decepticons.;robots;extraterrestrial;nothing,Transformers
"Crime, Drama, Thriller",en,2018-09-14,6.2,"unmarried;maid,;under;Bridget",Lizzie
"Drama, Thriller, History",en,1999-03-10,7.5,"executive,;60;Tells;television",The Insider
"Action, Adventure, Comedy, Family",en,1980-12-12,5.4,"ship,;Olive's;Oyl;wrecks",Popeye
"Drama, Fantasy, Horror, Mystery, Romance, Thriller",en,2003-09-05,5.4,investigate;forces;sent;Order,The Order
"Drama, Fantasy, Horror",en,2002-02-10,6.0,dead;now;reach;Queen,Queen of the Damned
"Comedy, Drama",it,2015-05-20,6.9,finishing;intent;performance?;sense,Youth
Western,en,1970-06-14,7.0,"dangerous;Hogan,;goal.;seeks",Two Mules for Sister Sara
"Adventure, Action, Thriller",en,2000-12-08,6.0,hears;terrifying;injured;base,Vertical Limit
"Action, Comedy, Thriller, Crime, Family",en,1989-07-28,6.4,"sets;just;city;Hooch,",Turner & Hooch
"Animation, Romance, Music, Drama",ja,2020-11-03,7.4,"shy;magical;bubbly;brief,",Words Bubble Up Like Soda Pop
"Romance, Drama",it,2019-09-04,7.0,fame;20th-century;torn;individualist,Martin Eden
"Drama, Thriller",ja,1961-04-25,8.2,ronin;no;sake;Tokuemon,Yojimbo
"Drama, Family",ja,2015-06-13,7.5,13-year-old;three;sister.;live,Our Little Sister
