Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1741,4.0,Estratovolcán,True,,Oshima-Oshima(Japan)
1753,2.0,Caldera volcánica,,,Grimsvotn(Iceland)
1780,4.0,Estratovolcán,True,,Sakura-jima(Japan)
1817,4.0,Estratovolcán,,,Raung(Indonesia)
1833,2.0,Estratovolcán,,,Kaba(Indonesia)
1841,2.0,Estratovolcán,,,Kuchinoerabu-jima(Japan)
1843,0.0,Estratovolcán,True,,Liamuiga(St. Kitts & Nevis)
1871,2.0,Estratovolcán,True,,Ruang(Indonesia)
1899,2.0,Estratovolcán,,,Manam(Papua New Guinea)
1900,2.0,Volcán en escudo,,,Kirishima(Japan)
1928,3.0,Estratovolcán,,,Mayon(Philippines)
1937,4.0,Escudo piroclástico,True,True,Rabaul(Papua New Guinea)
1946,2.0,Estratovolcán,,,Sakura-jima(Japan)
1953,0.0,,True,,St. Andrew Strait(Papua New Guinea)
1976,3.0,Estratovolcán,,,Sangay(Ecuador)
1977,3.0,Estratovolcán,,,Kliuchevskoi(Russia)
1981,,Estratovolcán,,,Mayon(Philippines)
1992,1.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
1994,3.0,Escudo piroclástico,True,,Rabaul(Papua New Guinea)
1997,2.0,Estratovolcán,,,Merapi(Indonesia)
2005,4.0,Estratovolcán,,,Manam(Papua New Guinea)
2006,,Estratovolcán,,,Raoul Island(New Zealand)
2014,,Estratovolcán,,,Fogo(Cape Verde)
2015,2.0,Estratovolcán,,,Manam(Papua New Guinea)
-1900,6.0,Estratovolcán,,,Black Peak(United States)
1477,6.0,Estratovolcán,,,Bardarbunga(Iceland)
1597,3.0,Estratovolcán,,,Raung(Indonesia)
1673,5.0,Estratovolcán,True,,Gamkonora(Indonesia)
1754,4.0,Estratovolcán,True,True,Taal(Philippines)
1768,4.0,Estratovolcán,,,Cotopaxi(Ecuador)
1792,2.0,,True,True,Unzen(Japan)
1814,4.0,Estratovolcán,,,Mayon(Philippines)
1815,7.0,Estratovolcán,True,,Tambora(Indonesia)
1818,4.0,Estratovolcán,,,Colima(Mexico)
1854,3.0,Estratovolcán,True,,Alaid(Russia)
1863,,Estratovolcán,True,True,Yasur(Vanuatu)
1872,4.0,Estratovolcán,,,Merapi(Indonesia)
1884,,Caldera volcánica,True,,Krakatau(Indonesia)
1888,3.0,Estratovolcán,True,,Ritter Island(Papua New Guinea)
1888,4.0,Estratovolcán,,,Bandai(Japan)
1913,2.0,Estratovolcán,,,Semeru(Indonesia)
1916,4.0,Estratovolcán,,,Tungurahua(Ecuador)
1920,3.0,Estratovolcán,,,Merapi(Indonesia)
1946,2.0,Estratovolcán,,,Semeru(Indonesia)
1948,2.0,,,,Iliwerung(Indonesia)
1950,3.0,Estratovolcán,,,Camiguin(Philippines)
1950,2.0,,,,Asama(Japan)
1951,,Estratovolcán,True,True,Cosiguina(Nicaragua)
1956,5.0,Estratovolcán,True,,Bezymianny(Russia)
1958,2.0,Caldera volcánica,True,,Kuwae(Vanuatu)
1967,3.0,Estratovolcán,,,Semeru(Indonesia)
1974,3.0,Estratovolcán,,,Sakura-jima(Japan)
1979,1.0,,,,Dieng Volc Complex(Indonesia)
1984,3.0,Estratovolcán,,,Mayon(Philippines)
1988,3.0,Caldera volcánica,,,Banda Api(Pacific Ocean)
1993,1.0,Caldera volcánica,,,Krakatau(Indonesia)
1996,2.0,Estratovolcán,True,,Karymsky(Russia)
1997,,Estratovolcán,True,,Soufriere Hills(Montserrat)
2006,2.0,Estratovolcán,,,Bulusan(Philippines)
2007,4.0,Estratovolcán,,,Manam(Papua New Guinea)
2007,,Estratovolcán,,,"Tair, Jebel at(Yemen)"
2011,,Volcán en escudo,,,Kirishima(Japan)
2012,,Volcán en escudo,,,Tolbachik(Russia)
2018,1.0,Volcán en escudo,True,True,Kilauea(United States)
2020,,Estratovolcán,True,True,Ijen(Indonesia)
50,6.0,Escudo piroclástico,,,Ambrym(Vanuatu)
590,,Estratovolcán,,,San Salvador(El Salvador)
1302,,,,,Ischia(Italy)
1568,3.0,Estratovolcán,,,Savo(Solomon Is.)
1570,,Estratovolcán,,,Mombacho(Nicaragua)
1663,5.0,Estratovolcán,,,Usu(Japan)
1693,,Estratovolcán,,True,Etna(Italy)
1755,4.0,Volcán subglaciar,,,Katla(Iceland)
1843,2.0,Estratovolcán,,,Lamongan(Indonesia)
1872,3.0,,,,Vesuvius(Italy)
1878,2.0,Volcán en escudo,True,True,Okmok(United States)
1913,3.0,Escudo piroclástico,,,Ambrym(Vanuatu)
1949,2.0,Estratovolcán,,,Purace(Colombia)
1957,2.0,Caldera volcánica,,,Aso(Japan)
1963,3.0,Estratovolcán,,,Irazu(Costa Rica)
1971,3.0,Estratovolcán,,,Fuego(Guatemala)
1992,3.0,Cono de escoria,,,"Negro, Cerro(Nicaragua)"
1997,,Estratovolcán,,,Hakkoda Group(Japan)
1997,,Estratovolcán,,,Adatara(Japan)
1997,,Caldera volcánica,,,Aso(Japan)
2004,1.0,Estratovolcán,,,Egon(Indonesia)
2013,,Estratovolcán,,,Paluweh(Indonesia)
2013,,Estratovolcán,,,Sakura-jima(Japan)
2015,,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
-1460,6.0,Caldera volcánica,,,Taupo(New Zealand)
1000,7.0,Estratovolcán,,,Changbaishan(North Korea)
1727,4.0,Estratovolcán,,,Oraefajokull(Iceland)
1826,3.0,Estratovolcán,,,Kelut(Indonesia)
1868,2.0,Volcán en escudo,True,True,Mauna Loa(United States)
1869,2.0,Estratovolcán,,,Lewotobi(Indonesia)
1895,2.0,Caldera volcánica,,,Dakataua(Papua New Guinea)
1900,2.0,Estratovolcán,,,Adatara(Japan)
1900,,Cono volcanico,,,Tullu Moje(Ethiopia)
1902,2.0,Estratovolcán,,,Merapi(Indonesia)
1907,2.0,Estratovolcán,,,Lewotobi(Indonesia)
1913,2.0,Estratovolcán,True,True,Awu(Indonesia)
1930,3.0,,,,Asama(Japan)
1932,,Estratovolcán,,,Merapi(Indonesia)
1938,1.0,Volcán en escudo,True,,"Nyamuragira(Congo, DRC)"
1938,2.0,Estratovolcán,,,Mayon(Philippines)
1954,,Estratovolcán,,,Camiguin(Philippines)
1958,2.0,Estratovolcán,,,Mahawu(Indonesia)
1961,,Estratovolcán,,,Tate-yama(Japan)
1964,2.0,Estratovolcán,,,Paluweh(Indonesia)
1992,4.0,Estratovolcán,,,Spurr(United States)
1995,,Estratovolcán,,,Parker(Philippines)
1998,,Estratovolcán,,,Kelut(Indonesia)
2000,3.0,Estratovolcán,,,Arenal(Costa Rica)
2010,1.0,,,,Pacaya(Guatemala)
2010,,Estratovolcán,,,Merapi(Indonesia)
2011,,Estratovolcán,,,Lokon-Empung(Indonesia)
2013,,Estratovolcán,,,Merapi(Indonesia)
2016,,Estratovolcán,,,Rinjani(Indonesia)
2018,,Volcán en escudo,,,Kilauea(United States)
1280,6.0,Caldera volcánica,,,Quilotoa(Ecuador)
1540,4.0,Domo de lava,True,,Augustine(United States)
1660,6.0,,True,,Long Island(Papua New Guinea)
1858,,Estratovolcán,,True,Tate-yama(Japan)
1864,2.0,Estratovolcán,,,Kelut(Indonesia)
1873,2.0,Estratovolcán,,,Ragang(Philippines)
1902,3.0,Estratovolcán,,,Tori-shima(Japan)
1907,2.0,Volcán en escudo,,,Alayta(Ethiopia)
1909,2.0,Estratovolcán,,,Semeru(Indonesia)
1919,4.0,Estratovolcán,,,Kelut(Indonesia)
1919,,Estratovolcán,,,Nasu(Japan)
1920,3.0,Estratovolcán,,,Izalco(El Salvador)
1938,,Estratovolcán,,,Bandai(Japan)
1949,3.0,Estratovolcán,,,Villarrica(Chile)
1963,3.0,Estratovolcán,,,Fuego(Guatemala)
1968,3.0,Estratovolcán,,,Mayon(Philippines)
1985,3.0,Estratovolcán,,,Semeru(Indonesia)
1992,2.0,,,,Marapi(Indonesia)
2001,2.0,Estratovolcán,,,Stromboli(Italy)
2004,4.0,Estratovolcán,,,Manam(Papua New Guinea)
2010,,Estratovolcán,True,True,Sarigan(United States)
2018,2.0,Estratovolcán,,True,Etna(Italy)
2020,,Estratovolcán,,,Taal(Philippines)
-3580,6.0,Estratovolcán,,,Taal(Philippines)
-2040,6.0,,,,Long Island(Papua New Guinea)
653,6.0,Caldera volcánica,,,Dakataua(Papua New Guinea)
683,6.0,Escudo piroclástico,,,Rabaul(Papua New Guinea)
950,,Volcán subglaciar,,,Katla(Iceland)
1580,3.0,Fisura volcánica,,,San Jorge(Portugal)
1581,4.0,Estratovolcán,,,Fuego(Guatemala)
1608,3.0,Estratovolcán,True,,Gamalama(Indonesia)
1625,5.0,Volcán subglaciar,,,Katla(Iceland)
1660,4.0,Estratovolcán,,,Teon(Pacific Ocean)
1773,2.0,Estratovolcán,,,Gamalama(Indonesia)
1779,2.0,,,,Vesuvius(Italy)
1801,2.0,Estratovolcán,,,Chokai(Japan)
1804,3.0,Caldera volcánica,,,Shikotsu(Japan)
1820,2.0,Estratovolcán,True,True,Westdahl(United States)
1845,4.0,Estratovolcán,,,Hekla(Iceland)
1867,2.0,,,,Zao(Japan)
1870,2.0,Volcán en escudo,,,Aoba(Vanuatu)
1910,,Caldera volcánica,,,Taupo(New Zealand)
1952,,,,,Hakone(Japan)
1953,2.0,Caldera volcánica,,,Aso(Japan)
1963,3.0,Estratovolcán,,,Irazu(Costa Rica)
1974,1.0,Estratovolcán,True,,Ritter Island(Papua New Guinea)
1986,2.0,Estratovolcán,,,Merapi(Indonesia)
1987,3.0,,,,Pacaya(Guatemala)
1990,,Escudo piroclástico,,,Rabaul(Papua New Guinea)
1993,,Estratovolcán,,,Pinatubo(Philippines)
2000,2.0,Estratovolcán,True,True,Miyake-jima(Japan)
2006,1.0,Estratovolcán,,,Mayon(Philippines)
2009,,Estratovolcán,,,Redoubt(United States)
2016,,Estratovolcán,,,Sinabung(Indonesia)
2018,,Estratovolcán,,,Kusatsu-Shirane(Japan)
2019,2.0,Estratovolcán,,,Stromboli(Italy)
-1645,6.0,Caldera volcánica,,,Aniakchak(United States)
1636,3.0,Estratovolcán,,,Hekla(Iceland)
1669,3.0,Estratovolcán,,,Etna(Italy)
1698,3.0,,True,,Vesuvius(Italy)
1706,2.0,Estratovolcán,True,,Tenerife(Spain)
1707,4.0,Estratovolcán,,True,Fuji(Japan)
1826,2.0,,,,Dieng Volc Complex(Indonesia)
1832,2.0,Estratovolcán,,,Etna(Italy)
1835,5.0,Estratovolcán,,,Cosiguina(Nicaragua)
1860,,Caldera volcánica,,,Grimsvotn(Iceland)
1871,2.0,Estratovolcán,,,Gamalama(Indonesia)
1872,4.0,Estratovolcán,,,Sinarka(Russia)
1899,4.0,Estratovolcán,,,Dona Juana(Colombia)
1905,2.0,,,,Vesuvius(Italy)
1924,2.0,Volcán en escudo,,,Kilauea(United States)
1931,3.0,,,,Asama(Japan)
